Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
AUB,Atlantic Union Bankshares Corp,Before Market Open,0.7,,
AZPN,Aspen Technology Inc,Time Not Supplied,0.79,,
AMTD,TD Ameritrade Holding Corp,After Market Close,0.76,,
UAL,United Airlines Holdings Inc,After Market Close,2.65,,
CATY,Cathay General Bancorp,Time Not Supplied,0.83,,
TBK,Triumph Bancorp Inc,After Market Close,0.61,,
IBM,International Business Machines Corp,After Market Close,4.69,,
SFBS,ServisFirst Bancshares Inc,TAS,0.69,,
ZIONW,Zions Bancorporation NA,After Market Close,,,
ESSA,ESSA Bancorp Inc,After Market Close,0.29,,
IBKR,Interactive Brokers Group Inc,TAS,0.58,,
UCBI,United Community Banks Inc,After Market Close,0.58,,
ONB,Old National Bancorp,Before Market Open,0.35,,
TCBI,Texas Capital Bancshares Inc,TAS,,,
FNLC,First Bancorp Inc,After Market Close,,,
STL,Sterling Bancorp,Time Not Supplied,0.53,,
FBNC,First Bancorp,After Market Close,0.78,,
MBWM,Mercantile Bank Corp,Before Market Open,0.65,,
PEBO,Peoples Bancorp Inc,Before Market Open,0.68,,
SMED,Sharps Compliance Corp,Before Market Open,0.03,,
NTRS,Northern Trust Corp,Before Market Open,,,
HXL,Hexcel Corp,Time Not Supplied,0.84,,
LVS,Las Vegas Sands Corp,Time Not Supplied,0.78,,
HAL,Halliburton Co,Before Market Open,0.29,,
CMRE,Costamare Inc,Time Not Supplied,0.28,,
SLG,SL Green Realty Corp,Time Not Supplied,0.39,,
SLM,SLM Corp,Time Not Supplied,,,
CMA,Comerica Inc,Before Market Open,1.74,,
CHMG,Chemung Financial Corp,After Market Close,0.99,,
TEL,TE Connectivity Ltd,Before Market Open,1.14,,
NAVI,Navient Corp,After Market Close,0.57,,
FULT,Fulton Financial Corp,After Market Close,0.35,,
COF,Capital One Financial Corp,TAS,2.29,,
CNS,Cohen & Steers Inc,Time Not Supplied,0.68,,
WTFCM,Wintrust Financial Corp,After Market Close,,,
FNB,F.N.B. Corp,Before Market Open,0.29,,
TAL,TAL Education Group,Before Market Open,0.09,,
ORRF,Orrstown Financial Services Inc,After Market Close,0.44,,
WAFD,Washington Federal Inc,After Market Close,0.59,,
HZO,MarineMax Inc,Before Market Open,0.08,,
TDY,Teledyne Technologies Inc,Before Market Open,2.74,,
