Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
AVYA,Avaya Holdings Corp,TAS,0.84,,
ASFI,Asta Funding Inc,TAS,,,
SGBI,Sangui Biotech International Inc,Time Not Supplied,,,
IMBI,iMedia Brands Inc,Before Market Open,-0.06,,
LZB,La-Z-Boy Inc,After Market Close,0.54,,
JACK,Jack in the Box Inc,After Market Close,0.96,,
LB,L Brands Inc,After Market Close,0.02,,
SBLK,Star Bulk Carriers Corp,After Market Close,0.17,,
CNF,CNFinance Holdings Ltd,Before Market Open,,,
OCSI,Oaktree Strategic Income Corporation,Before Market Open,0.18,,
TGT,Target Corp,Before Market Open,1.19,,
OCSL,Oaktree Specialty Lending Corp,Before Market Open,0.12,,
LOW,Lowe's Companies Inc,Before Market Open,1.35,,
PFLT,PennantPark Floating Rate Capital Ltd,After Market Close,0.29,,
CPRT,Copart Inc,After Market Close,0.59,,
CUB,Cubic Corp,After Market Close,1.94,,
NUAN,Nuance Communications Inc,After Market Close,0.28,,
VIOT,Viomi Technology Co Ltd,Before Market Open,0.12,,
ELTK,Eltek Ltd,Before Market Open,,,
FANH,Fanhua Inc,After Market Close,,,
GHG,GreenTree Hospitality Group Ltd,Before Market Open,0.2,,
SMRT,Stein Mart Inc,After Market Close,,,
NTES,NetEase Inc,After Market Close,3.12,,
PDD,Pinduoduo Inc,Before Market Open,-0.08,,
SR,Spire Inc,Before Market Open,-0.51,,
DAO,Youdao Inc,After Market Close,,,
SONO,Sonos Inc,After Market Close,-0.22,,
QIWI,Qiwi PLC,Before Market Open,0.33,,
