
WUBA ,58.com Inc ,Before Market Open ,0.82 ,N/A ,N/A 
ARMK ,Aramark ,Before Market Open ,0.69 ,N/A ,N/A 
AFMD ,Affimed NV ,TAS ,-0.17 ,N/A ,N/A 
NJR ,New Jersey Resources Corp ,Before Market Open ,0.28 ,N/A ,N/A 
ECCB ,Eagle Point Credit Company Inc ,Before Market Open ,N/A ,N/A ,N/A 
TOUR ,Tuniu Corp ,Before Market Open ,N/A ,N/A ,N/A 
EIC ,Eagle Point Income Company Inc ,Before Market Open ,N/A ,N/A ,N/A 
KSS ,Kohls Corp ,Before Market Open ,0.86 ,N/A ,N/A 
JKS ,JinkoSolar Holding Co Ltd ,Before Market Open ,0.83 ,N/A ,N/A 
DL ,China Distance Education Holdings Ltd ,After Market Close ,0.33 ,N/A ,N/A 
TJX ,TJX Companies Inc ,Before Market Open ,0.66 ,N/A ,N/A 
HD ,Home Depot Inc ,Before Market Open ,2.52 ,N/A ,N/A 
PAGS ,PagSeguro Digital Ltd ,TAS ,0.29 ,N/A ,N/A 
ESE ,ESCO Technologies Inc ,After Market Close ,1.06 ,N/A ,N/A 
RADA ,Rada Electronic Industries Ltd ,TAS ,-0.02 ,N/A ,N/A 
RADA ,Rada Electronic Industries Ltd ,Before Market Open ,-0.02 ,N/A ,N/A 
DAVA ,Endava PLC ,TAS ,21.21 ,N/A ,N/A 
FALC ,FalconStor Software Inc ,After Market Close ,N/A ,N/A ,N/A 
GVP ,GSE Systems Inc ,TAS ,0.03 ,N/A ,N/A 
TDG ,TransDigm Group Inc ,Before Market Open ,5.16 ,N/A ,N/A 
PPDF ,PPDAI Group Inc ,Before Market Open ,0.26 ,N/A ,N/A 
GRBX ,Greenbox Pos ,Time Not Supplied ,N/A ,N/A ,N/A 
THMO ,Thermogenesis Holdings Inc ,After Market Close ,-0.12 ,N/A ,N/A 
MMS ,Maximus Inc ,TAS ,0.94 ,N/A ,N/A 
NXTD ,NXT-ID Inc ,TAS ,N/A ,N/A ,N/A 
URBN ,Urban Outfitters Inc ,After Market Close ,0.57 ,N/A ,N/A 
SINT ,SINTX Technologies Inc ,Time Not Supplied ,N/A ,N/A ,N/A 
ORNC ,Oranco Inc ,Time Not Supplied ,N/A ,N/A ,N/A 
LAIX ,LAIX Inc ,After Market Close ,-0.32 ,N/A ,N/A 
MDT ,Medtronic PLC ,TAS ,1.28 ,N/A ,N/A 
